DEBUG super_duper: config.root_paths: ["D:/Data/Dev/Scratch/TestD3"]
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\adm-zip.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\.tern-project"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-ui-router"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\index.config.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-aria\\angular-aria.min.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-aria\\angular-aria.min.js.map"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\headers"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\.travis.yml"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\AUTHORS"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\bin"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\bin\\acorn"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\bin\\build-acorn.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\bin\\generate-identifier-regex.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\bin\\update_authors.sh"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\dist"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\headers\\entryHeader.js"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\index.module.ts"
TRACE super_duper::file_proc::scan: SYMLINK_OR_EMPTY "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\dist\\.keep"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\dist\\acorn.js"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\index.route.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\headers\\index.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\dist\\acorn_loose.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\dist\\walk.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\LICENSE"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\package.json"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\README.md"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\src"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\index.run.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\headers\\mainHeader.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\esgenerate.cmd"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-aria\\bower.json"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-ui-router\\index.d.ts"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\src\\bin"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\index.scss"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\methods"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\src\\app\\main"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-aria\\index.js"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\jasmine"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\src\\bin\\acorn.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\eslint"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\methods\\deflater.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-aria\\package.json"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\main\\main.controller.spec.ts"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\jasmine\\index.d.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\src\\expression.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\eslint.cmd"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\methods\\index.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-aria\\README.md"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\main\\main.controller.ts"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\jquery"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\src\\identifier.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\esparse"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\methods\\inflater.js"
