id,canonical_name,name,file_size,parent_id,part_type
1262,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Previews.lrdata\F\F88E\F88EC5CF-D05C-414D-867D-A2E9D33A6199-72194645549e7ceec3e7b7c600bba199.lrprev,F88EC5CF-D05C-414D-867D-A2E9D33A6199-72194645549e7ceec3e7b7c600bba199.lrprev,4206208,1261,2
1651,D:\Archive\Archive From Hulk\Dev\dotNet\Samples\Nile2\Nile2.0\Nile 2.0 IBM WebSphere 3.5\nilejsp,nilejsp,137,1650,1
1548,D:\Data\Temp\src\Applications\G2.Karaoke\External\taglib-sharp-2.1.0.0-windows\taglib-sharp-2.1.0.0-windows\src\TagLib,TagLib,11521,1547,1
480,D:\Data\Temp\src\Applications\G2.Tivo\Reference\Streambaby\main\src\mp4\util\atom\moov\udta,udta,316,479,1
1903,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Smart Previews.lrdata\2\238C\238C5E80-76D9-40DC-8E4D-0D0BFA46CB2C.dng,238C5E80-76D9-40DC-8E4D-0D0BFA46CB2C.dng,671050,1902,2
973,D:\Data\Dev\GoldCoast\GCA\app.tmp\gca-app-web\bower_components,bower_components,782,972,1
92,E:\Temp\sd.webui\system,system,132909,91,1
652,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Previews.lrdata\9,9,3208064,18,1
830,D:\Data\Dev\Archive\GWG\GWG.Tivo\Source\.hg\store\data\_g_w_g._tivo\_g_w_g._tivo._server\_modules\_tivo_net_module.cs.i,_tivo_net_module.cs.i,516,829,2
901,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Previews.lrdata\0\061C\061CE8D3-8204-4FCD-B9F7-50D3C16C4065-07cc63f155500a902b21fef7be6585b5.lrprev,061CE8D3-8204-4FCD-B9F7-50D3C16C4065-07cc63f155500a902b21fef7be6585b5.lrprev,3488,900,2
903,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Previews.lrdata\0\061C\061CE8D3-8204-4FCD-B9F7-50D3C16C4065-07cc63f155500a902b21fef7be6585b5.lrprev,061CE8D3-8204-4FCD-B9F7-50D3C16C4065-07cc63f155500a902b21fef7be6585b5.lrprev,3488,902,2
1573,D:\Data\Dev\Archive\GWG\GWG.Windows.Forms,GWG.Windows.Forms,1089,268,1
1658,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Previews.lrdata\C\C39E,C39E,13664,212,1
516,D:\Archive\ckgentry.org\ckgentry.org\drupal-7.0-alpha6\sites\all\libraries\htmlpurifier\library\HTMLPurifier\ConfigSchema\Exception.php,Exception.php,173,515,2
1782,D:\Pictures\.hg\store\data\_g_w_g._tivo._library\_data\_tivo_model.cs.i,_tivo_model.cs.i,273,1781,2
12,D:\Pictures\Originals\LR Catalog,LR Catalog,169992948,11,1
42,D:\Archive\Archive From Hulk,Archive From Hulk,73303437,41,1
106,D:\Pictures\Originals\Image Files\Other\Camera Phones\Lumia 928,Lumia 928,4387709,34,1
425,E:\Temp\sd.webui\system\python\Lib\site-packages\networkx\algorithms\planarity.py,planarity.py,39476,424,2
631,D:\Archive\Archive From Hulk\Users\Gary\DomainProfile\Recent,Recent,432,630,1
79,D:\Archive\Archive From Hulk\CAM\Old Server CAM Dir\2 - Product Management\IDS_WE_730_nt\Wrkgtnt\IDS\ids\cdrom\0333.d5_,0333.d5_,10705,78,2
150,D:\Data\Dev\GoldCoast\Archive\GCA.bak\CTMS\Archive\Client.bak\GCA.CTMS.Web.App\bower_components\angular-material\modules,modules,858,149,1
939,D:\Archive\Archive From Hulk\Old Machines\Beetlejuice Backup\Save\Old Drive\From Fester\Digital Pictures\Hunter\Web\06-07-2003\Output\pages,pages,2042,938,1
1618,D:\Music\Originals\The Allman Brothers Band\2nd Set,2nd Set,48130474,1617,1
